BCH-USD,BitcoinCash USD,
Date,Price,Dividend,Annualized Dividend
10/19/2019,212.620849609375,0.0,0.0
10/20/2019,214.1373748779297,0.0,0.0
10/21/2019,224.9267120361328,0.0,0.0
10/22/2019,233.36007690429688,0.0,0.0
10/23/2019,228.00621032714844,0.0,0.0
10/24/2019,210.29957580566406,0.0,0.0
10/25/2019,214.205810546875,0.0,0.0
10/26/2019,259.5283203125,0.0,0.0
10/27/2019,252.55828857421875,0.0,0.0
10/28/2019,261.1497802734375,0.0,0.0
10/29/2019,265.38433837890625,0.0,0.0
10/30/2019,289.1908874511719,0.0,0.0
10/31/2019,290.4007568359375,0.0,0.0
11/01/2019,284.489501953125,0.0,0.0
11/02/2019,279.21527099609375,0.0,0.0
11/03/2019,290.7336120605469,0.0,0.0
11/04/2019,292.8009033203125,0.0,0.0
11/05/2019,291.7762451171875,0.0,0.0
11/06/2019,293.4643859863281,0.0,0.0
11/07/2019,306.2934875488281,0.0,0.0
11/08/2019,293.8262939453125,0.0,0.0
11/09/2019,277.8990478515625,0.0,0.0
11/10/2019,282.73065185546875,0.0,0.0
11/11/2019,293.5677185058594,0.0,0.0
11/12/2019,287.1761474609375,0.0,0.0
11/13/2019,289.0430603027344,0.0,0.0
11/14/2019,286.23992919921875,0.0,0.0
11/15/2019,280.07098388671875,0.0,0.0
11/16/2019,264.9568786621094,0.0,0.0
11/17/2019,267.7059631347656,0.0,0.0
11/18/2019,268.4671936035156,0.0,0.0
11/19/2019,250.16517639160156,0.0,0.0
11/20/2019,244.33517456054688,0.0,0.0
11/21/2019,244.2014617919922,0.0,0.0
11/22/2019,226.70143127441406,0.0,0.0
11/23/2019,209.09523010253906,0.0,0.0
11/24/2019,217.2898406982422,0.0,0.0
11/25/2019,205.2372589111328,0.0,0.0
11/26/2019,208.78448486328125,0.0,0.0
11/27/2019,212.3584747314453,0.0,0.0
11/28/2019,220.12306213378906,0.0,0.0
11/29/2019,218.8876495361328,0.0,0.0
11/30/2019,224.97708129882812,0.0,0.0
12/01/2019,218.98875427246094,0.0,0.0
12/02/2019,216.37745666503906,0.0,0.0
12/03/2019,215.5044708251953,0.0,0.0
12/04/2019,212.67677307128906,0.0,0.0
12/05/2019,209.2150421142578,0.0,0.0
12/06/2019,213.37596130371094,0.0,0.0
12/07/2019,213.7819061279297,0.0,0.0
12/08/2019,212.926513671875,0.0,0.0
12/09/2019,214.0550537109375,0.0,0.0
12/10/2019,209.83030700683594,0.0,0.0
12/11/2019,208.09628295898438,0.0,0.0
12/12/2019,207.4246826171875,0.0,0.0
12/13/2019,207.72134399414062,0.0,0.0
12/14/2019,211.2374267578125,0.0,0.0
12/15/2019,207.46263122558594,0.0,0.0
12/16/2019,207.54495239257812,0.0,0.0
12/17/2019,197.11727905273438,0.0,0.0
12/18/2019,177.26162719726562,0.0,0.0
12/19/2019,189.39971923828125,0.0,0.0
12/20/2019,187.68165588378906,0.0,0.0
12/21/2019,188.22244262695312,0.0,0.0
12/22/2019,187.44451904296875,0.0,0.0
12/23/2019,196.28671264648438,0.0,0.0
12/24/2019,190.74468994140625,0.0,0.0
12/25/2019,189.72215270996094,0.0,0.0
12/26/2019,187.27371215820312,0.0,0.0
12/27/2019,188.31954956054688,0.0,0.0
12/28/2019,203.28868103027344,0.0,0.0
12/29/2019,206.24795532226562,0.0,0.0
12/30/2019,212.8830108642578,0.0,0.0
12/31/2019,209.30198669433594,0.0,0.0
01/01/2020,204.67129516601562,0.0,0.0
01/02/2020,204.3545379638672,0.0,0.0
01/03/2020,196.0076904296875,0.0,0.0
01/04/2020,222.53656005859375,0.0,0.0
01/05/2020,225.7798309326172,0.0,0.0
01/06/2020,224.34791564941406,0.0,0.0
01/07/2020,244.7130126953125,0.0,0.0
01/08/2020,243.07920837402344,0.0,0.0
01/09/2020,240.99803161621094,0.0,0.0
01/10/2020,239.55162048339844,0.0,0.0
01/11/2020,270.19720458984375,0.0,0.0
01/12/2020,261.10028076171875,0.0,0.0
01/13/2020,268.4125061035156,0.0,0.0
01/14/2020,267.6441650390625,0.0,0.0
01/15/2020,348.7173156738281,0.0,0.0
01/16/2020,339.6820983886719,0.0,0.0
01/17/2020,326.3751220703125,0.0,0.0
01/18/2020,367.4088439941406,0.0,0.0
01/19/2020,338.4001770019531,0.0,0.0
01/20/2020,338.119384765625,0.0,0.0
01/21/2020,343.5102844238281,0.0,0.0
01/22/2020,343.3699951171875,0.0,0.0
01/23/2020,347.4979248046875,0.0,0.0
01/24/2020,325.1677551269531,0.0,0.0
01/25/2020,319.3762512207031,0.0,0.0
01/26/2020,310.99591064453125,0.0,0.0
01/27/2020,346.8900451660156,0.0,0.0
01/28/2020,362.65313720703125,0.0,0.0
01/29/2020,379.10308837890625,0.0,0.0
01/30/2020,380.861572265625,0.0,0.0
01/31/2020,392.8301696777344,0.0,0.0
02/01/2020,375.06658935546875,0.0,0.0
02/02/2020,380.25347900390625,0.0,0.0
02/03/2020,377.9372253417969,0.0,0.0
02/04/2020,383.7582092285156,0.0,0.0
02/05/2020,380.71893310546875,0.0,0.0
02/06/2020,442.3412780761719,0.0,0.0
02/07/2020,442.5661926269531,0.0,0.0
02/08/2020,439.7012939453125,0.0,0.0
02/09/2020,443.06829833984375,0.0,0.0
02/10/2020,449.9117126464844,0.0,0.0
02/11/2020,452.9929504394531,0.0,0.0
02/12/2020,461.1723327636719,0.0,0.0
02/13/2020,475.0639343261719,0.0,0.0
02/14/2020,474.4730529785156,0.0,0.0
02/15/2020,491.1003112792969,0.0,0.0
02/16/2020,438.87750244140625,0.0,0.0
02/17/2020,415.05010986328125,0.0,0.0
02/18/2020,409.6348876953125,0.0,0.0
02/19/2020,419.09710693359375,0.0,0.0
02/20/2020,381.30047607421875,0.0,0.0
02/21/2020,372.2878723144531,0.0,0.0
02/22/2020,379.8045654296875,0.0,0.0
02/23/2020,373.7572937011719,0.0,0.0
02/24/2020,401.3996276855469,0.0,0.0
02/25/2020,377.1636657714844,0.0,0.0
02/26/2020,353.9785461425781,0.0,0.0
02/27/2020,318.0464782714844,0.0,0.0
02/28/2020,323.1212158203125,0.0,0.0
02/29/2020,313.9254150390625,0.0,0.0
03/01/2020,308.260498046875,0.0,0.0
03/02/2020,313.32330322265625,0.0,0.0
03/03/2020,336.9118957519531,0.0,0.0
03/04/2020,329.5291748046875,0.0,0.0
03/05/2020,319.3156433105469,0.0,0.0
03/06/2020,337.394775390625,0.0,0.0
03/07/2020,349.1767883300781,0.0,0.0
03/08/2020,331.0129699707031,0.0,0.0
03/09/2020,275.9615478515625,0.0,0.0
03/10/2020,273.5170593261719,0.0,0.0
03/11/2020,271.84442138671875,0.0,0.0
03/12/2020,266.75347900390625,0.0,0.0
03/13/2020,152.17665100097656,0.0,0.0
03/14/2020,177.12457275390625,0.0,0.0
03/15/2020,167.5603790283203,0.0,0.0
03/16/2020,178.19683837890625,0.0,0.0
03/17/2020,171.05067443847656,0.0,0.0
