GAAEX,Guinness Atkinson Alternative E,
Date,Price,Dividend,Annualized Dividend
01/16/2019,2.7300000190734863,0.0,0.002
01/17/2019,2.759999990463257,0.0,0.002
01/18/2019,2.7799999713897705,0.0,0.002
01/22/2019,2.75,0.0,0.002
01/24/2019,2.7699999809265137,0.0,0.002
01/25/2019,2.809999942779541,0.0,0.002
01/29/2019,2.799999952316284,0.0,0.002
01/30/2019,2.8399999141693115,0.0,0.002
01/31/2019,2.880000114440918,0.0,0.002
02/01/2019,2.8299999237060547,0.0,0.002
02/04/2019,2.8499999046325684,0.0,0.002
02/05/2019,2.859999895095825,0.0,0.002
02/07/2019,2.819999933242798,0.0,0.002
02/12/2019,2.869999885559082,0.0,0.002
02/14/2019,2.9100000858306885,0.0,0.002
02/19/2019,2.9200000762939453,0.0,0.002
02/20/2019,2.930000066757202,0.0,0.002
02/21/2019,2.940000057220459,0.0,0.002
02/22/2019,3.0,0.0,0.002
02/25/2019,2.990000009536743,0.0,0.002
02/27/2019,2.9800000190734863,0.0,0.002
03/05/2019,2.9700000286102295,0.0,0.002
03/06/2019,2.9600000381469727,0.0,0.002
03/08/2019,2.9000000953674316,0.0,0.002
03/18/2019,3.009999990463257,0.0,0.002
04/04/2019,3.0199999809265137,0.0,0.002
04/05/2019,3.0399999618530273,0.0,0.002
04/08/2019,3.049999952316284,0.0,0.002
04/10/2019,3.059999942779541,0.0,0.002
04/16/2019,3.0799999237060547,0.0,0.002
04/18/2019,3.0999999046325684,0.0,0.002
04/23/2019,3.109999895095825,0.0,0.002
04/25/2019,3.069999933242798,0.0,0.002
04/30/2019,3.0899999141693115,0.0,0.002
06/20/2019,3.0299999713897705,0.0,0.002
08/30/2019,2.890000104904175,0.0,0.002
09/30/2019,2.950000047683716,0.0,0.002
12/06/2019,3.1500000953674316,0.0,0.002
12/09/2019,3.140000104904175,0.0,0.002
12/11/2019,3.1700000762939453,0.0,0.002
12/12/2019,3.2200000286102295,0.0,0.0
12/16/2019,3.2699999809265137,0.0,0.0
12/17/2019,3.2899999618530273,0.0,0.0
12/18/2019,3.2799999713897705,0.0,0.0
12/23/2019,3.299999952316284,0.0,0.0
12/26/2019,3.309999942779541,0.0,0.0
12/27/2019,3.3299999237060547,0.0,0.0
12/30/2019,3.319999933242798,0.0,0.0
01/02/2020,3.369999885559082,0.0,0.0
01/03/2020,3.3399999141693115,0.0,0.0
01/14/2020,3.390000104904175,0.0,0.0
