VOO,Vanguard S&P 500 ETF,
Date,Price,Annualized Dividend
04/06/2020,233.77795390209567,5.294
04/06/2020,240.2597198486328,5.294
04/07/2020,248.5370593806133,5.294
04/07/2020,240.3879852294922,5.294
04/08/2020,242.93334226403607,5.294
04/08/2020,248.5469207763672,5.294
04/09/2020,251.6940923105868,5.294
04/09/2020,252.23670959472656,5.294
04/13/2020,251.22051868000239,5.294
04/13/2020,249.7899932861328,5.294
04/14/2020,254.77216474518332,5.294
04/14/2020,257.41619873046875,5.294
04/15/2020,251.65462970729646,5.294
04/15/2020,251.81248474121094,5.294
04/16/2020,253.0654387126123,5.294
04/16/2020,253.0851593017578,5.294
04/17/2020,258.7875376019272,5.294
04/17/2020,260.070068359375,5.294
04/20/2020,256.1632652146071,5.294
04/20/2020,255.3838653564453,5.294
04/21/2020,250.83576660199745,5.294
04/21/2020,247.580078125,5.294
04/22/2020,252.39456535940863,5.294
04/22/2020,253.02597045898438,5.294
04/23/2020,254.28878077985368,5.294
04/23/2020,252.97665405273438,5.294
04/24/2020,254.53542075401666,5.294
04/24/2020,256.6466979980469,5.294
04/27/2020,258.49159677639824,5.294
04/27/2020,260.356201171875,5.294
04/28/2020,263.8881490364484,5.294
04/28/2020,259.152587890625,5.294
04/29/2020,264.38140393531194,5.294
04/29/2020,265.8316650390625,5.294
04/30/2020,264.4800653967545,5.294
04/30/2020,263.51324462890625,5.294
05/01/2020,258.61984657334153,5.294
05/01/2020,256.33099365234375,5.294
05/04/2020,254.45650871872462,5.294
05/04/2020,257.1399841308594,5.294
05/05/2020,259.9122493548603,5.294
05/05/2020,259.50775146484375,5.294
05/06/2020,261.1552823149754,5.294
05/06/2020,257.761474609375,5.294
05/07/2020,260.89881547830953,5.294
05/07/2020,260.80999755859375,5.294
05/08/2020,263.9374400719458,5.294
05/08/2020,265.170654296875,5.294
05/11/2020,263.197529857615,5.294
05/11/2020,265.21014404296875,5.294
05/12/2020,266.3545534441322,5.294
05/12/2020,259.8727722167969,5.294
05/13/2020,259.3400170795977,5.294
05/13/2020,255.26547241210938,5.294
05/14/2020,252.8878582452027,5.294
05/14/2020,258.3435974121094,5.294
05/15/2020,256.0547515385157,5.294
05/15/2020,259.50775146484375,5.294
05/18/2020,265.70341313320256,5.294
05/18/2020,267.43975830078125,5.294
05/19/2020,266.9760847635889,5.294
05/19/2020,264.9141540527344,5.294
05/20/2020,268.2685003705992,5.294
05/20/2020,269.2353210449219,5.294
05/21/2020,269.13664394492304,5.294
05/21/2020,267.3016357421875,5.294
05/22/2020,267.1240726812991,5.294
05/22/2020,267.9034423828125,5.294
05/26/2020,273.8031411219511,5.294
05/26/2020,271.3465881347656,5.294
05/27/2020,274.04982992701036,5.294
05/27/2020,275.3027648925781,5.294
05/28/2020,276.26958485679364,5.294
05/28/2020,274.7601318359375,5.294
05/29/2020,274.2964431678442,5.294
05/29/2020,275.99334716796875,5.294
06/01/2020,275.3224808581971,5.294
