NHI,"National Health Investors, Inc.",
Date,Price,Dividend,Annualized Dividend
05/28/1993,3.5032969186472336,0.0,2.075
06/01/1993,3.4870784239726023,0.0,2.075
06/02/1993,3.6006096024319056,0.0,2.075
06/03/1993,3.56817364692688,0.0,2.075
06/04/1993,3.584390640258789,0.0,2.075
06/07/1993,3.5843917267507615,0.0,2.075
06/08/1993,3.519517823096809,0.0,2.075
06/09/1993,3.5357367992401123,0.0,2.075
06/10/1993,3.5357348254826513,0.0,2.075
06/11/1993,3.56817364692688,0.0,2.075
06/14/1993,3.568173203233112,0.0,2.075
06/15/1993,3.600611141444322,0.0,2.075
06/16/1993,3.6330505303576985,0.0,2.075
06/17/1993,3.6654874299253737,0.0,2.075
06/18/1993,3.64926815032959,0.0,2.075
06/21/1993,3.6492695059396527,0.0,2.075
06/22/1993,3.6330499147114,0.0,2.075
06/23/1993,3.6979258060455322,0.0,2.075
06/24/1993,3.7025533796430707,0.535,2.11
06/25/1993,3.686023304505008,0.0,2.11
06/28/1993,3.68602412348395,0.0,2.11
06/29/1993,3.6694942539388484,0.0,2.11
06/30/1993,3.6694933645326087,0.0,2.11
07/01/1993,3.6364363550065875,0.0,2.11
07/02/1993,3.6860222816467285,0.0,2.11
07/06/1993,3.686022613922395,0.0,2.11
07/07/1993,3.6694930337469676,0.0,2.11
07/08/1993,3.702552556991577,0.0,2.11
07/09/1993,3.68602412348395,0.0,2.11
07/12/1993,3.686023304505008,0.0,2.11
07/13/1993,3.702552556991577,0.0,2.11
07/14/1993,3.719082832336426,0.0,2.11
07/15/1993,3.702552556991577,0.0,2.11
07/16/1993,3.7025515295464895,0.0,2.11
07/19/1993,3.6694930337469676,0.0,2.11
07/20/1993,3.6860222816467285,0.0,2.11
07/21/1993,3.6860260288272286,0.0,2.11
07/22/1993,3.719082832336426,0.0,2.11
07/23/1993,3.7356138229370117,0.0,2.11
07/26/1993,3.702552556991577,0.0,2.11
07/27/1993,3.6860222816467285,0.0,2.11
07/28/1993,3.6860222816467285,0.0,2.11
07/29/1993,3.652965000542727,0.0,2.11
07/30/1993,3.6529664286860712,0.0,2.11
08/02/1993,3.5207323498196073,0.0,2.11
08/03/1993,3.570321929789035,0.0,2.11
08/04/1993,3.5703187335621225,0.0,2.11
08/05/1993,3.6364357471466064,0.0,2.11
08/06/1993,3.636436397082185,0.0,2.11
08/09/1993,3.619905616363249,0.0,2.11
08/10/1993,3.6199064937504852,0.0,2.11
08/11/1993,3.6529667957113423,0.0,2.11
08/12/1993,3.6199079089694552,0.0,2.11
08/13/1993,3.6033786491111472,0.0,2.11
08/16/1993,3.537260836224223,0.0,2.11
08/17/1993,3.570320488116063,0.0,2.11
08/18/1993,3.6199082726732303,0.0,2.11
08/19/1993,3.603377884381438,0.0,2.11
08/20/1993,3.6199064937504852,0.0,2.11
08/23/1993,3.6364375341922863,0.0,2.11
08/24/1993,3.6033772403543645,0.0,2.11
08/25/1993,3.6364357471466064,0.0,2.11
08/26/1993,3.603379011154175,0.0,2.11
08/27/1993,3.6199071407318115,0.0,2.11
08/30/1993,3.6364357471466064,0.0,2.11
08/31/1993,3.6364357471466064,0.0,2.11
09/01/1993,3.6033772403543645,0.0,2.11
09/02/1993,3.586849749635119,0.0,2.11
09/03/1993,3.586849749635119,0.0,2.11
09/07/1993,3.603379011154175,0.0,2.11
09/08/1993,3.586849749635119,0.0,2.11
09/09/1993,3.586849749635119,0.0,2.11
09/10/1993,3.586849749635119,0.0,2.11
09/13/1993,3.6199065276554654,0.0,2.11
09/14/1993,3.6199071407318115,0.0,2.11
09/15/1993,3.6033772403543645,0.0,2.11
09/16/1993,3.6364357471466064,0.0,2.11
09/17/1993,3.6199071407318115,0.0,2.11
09/20/1993,3.586849749635119,0.0,2.11
09/21/1993,3.5868493892528392,0.0,2.11
09/22/1993,3.586848020553589,0.0,2.11
09/23/1993,3.5868486280310643,0.0,2.11
09/24/1993,3.6421663761138916,0.54,2.65
09/27/1993,3.6084404435268667,0.0,2.65
09/28/1993,3.6421663761138916,0.0,2.65
09/29/1993,3.6421682322136713,0.0,2.65
09/30/1993,3.642164360986997,0.0,2.65
10/01/1993,3.6927498707900175,0.0,2.65
10/04/1993,3.7601980417310408,0.0,2.65
10/05/1993,3.8445082825499695,0.0,2.65
10/06/1993,3.911954683295647,0.0,2.65
10/07/1993,3.928817674711153,0.0,2.65
10/08/1993,3.8950928096607518,0.0,2.65
10/11/1993,3.911954879760742,0.0,2.65
10/12/1993,3.878232039414443,0.0,2.65
10/13/1993,3.8950939178466797,0.0,2.65
10/14/1993,3.8950939178466797,0.0,2.65
10/15/1993,3.9119557962789164,0.0,2.65
10/18/1993,3.911953118506898,0.0,2.65
10/19/1993,3.9288175483035226,0.0,2.65
10/20/1993,3.9625403042003318,0.0,2.65
10/21/1993,3.895093005279015,0.0,2.65
10/22/1993,3.911954879760742,0.0,2.65
10/25/1993,3.9119557962789164,0.0,2.65
10/26/1993,3.861370160982206,0.0,2.65
10/27/1993,3.895093005279015,0.0,2.65
10/28/1993,3.911955037324325,0.0,2.65
10/29/1993,3.895093792524093,0.0,2.65
11/01/1993,3.9456795009516052,0.0,2.1300000000000003
11/02/1993,3.9794031819726667,0.0,2.1300000000000003
11/03/1993,3.94567955314339,0.0,2.1300000000000003
11/04/1993,3.895092329463443,0.0,2.1300000000000003
11/05/1993,3.7601980417310408,0.0,2.1300000000000003
11/08/1993,3.8276470394634265,0.0,2.1300000000000003
11/09/1993,3.8276456615199215,0.0,2.1300000000000003
11/10/1993,3.8782309360258567,0.0,2.1300000000000003
11/11/1993,3.9456794261932373,0.0,2.1300000000000003
11/12/1993,3.945678430565437,0.0,2.1300000000000003
11/15/1993,3.911954683295647,0.0,2.1300000000000003
11/16/1993,3.962538719177246,0.0,2.1300000000000003
11/17/1993,3.979403257369995,0.0,2.1300000000000003
11/18/1993,3.945678628724197,0.0,2.1300000000000003
11/19/1993,3.911955037324325,0.0,2.1300000000000003
11/22/1993,3.878230002888462,0.0,2.1300000000000003
11/23/1993,3.84450626373291,0.0,2.1300000000000003
11/24/1993,3.861369411841683,0.0,2.1300000000000003
11/26/1993,3.911954879760742,0.0,2.1300000000000003
11/29/1993,3.911954879760742,0.0,2.1300000000000003
11/30/1993,3.911954879760742,0.0,2.1300000000000003
12/01/1993,3.8782311307972877,0.0,2.1300000000000003
12/02/1993,3.8950918724662382,0.0,2.1300000000000003
12/03/1993,3.8445074148640237,0.0,2.1300000000000003
12/06/1993,3.760199883342844,0.0,2.1300000000000003
12/07/1993,3.7770595550537105,0.0,2.1300000000000003
12/08/1993,3.777059033312605,0.0,2.1300000000000003
12/09/1993,3.743335485458374,0.0,2.1300000000000003
12/10/1993,3.777059033312605,0.0,2.1300000000000003
12/13/1993,3.726473331451416,0.0,2.1300000000000003
12/14/1993,3.7433355932366355,0.0,2.1300000000000003
12/15/1993,3.7096117423461363,0.0,2.1300000000000003
12/16/1993,3.7264756106455392,0.0,2.1300000000000003
12/17/1993,3.7096137300543828,0.0,2.1300000000000003
12/20/1993,3.7096118927001953,0.0,2.1300000000000003
12/21/1993,3.7096118927001953,0.0,2.1300000000000003
12/22/1993,3.743335485458374,0.0,2.1300000000000003
12/23/1993,3.7770595550537105,0.0,2.1300000000000003
12/27/1993,3.821121561041785,0.57,2.175
12/28/1993,3.8211233701024736,0.0,2.175
12/29/1993,3.8555479049682617,0.0,2.175
12/30/1993,3.8383351499969893,0.0,2.175
12/31/1993,3.7866983542571195,0.0,2.175
